date,close
2022-01-03,178.10365295410156
2022-01-04,175.84323120117188
2022-01-05,171.16583251953125
2022-01-06,168.3085174560547
2022-01-07,168.474853515625
2022-01-10,168.49440002441406
2022-01-11,171.3223876953125
2022-01-12,171.7627716064453
2022-01-13,168.49440002441406
2022-01-14,169.35552978515625
2022-01-18,166.1557159423828
2022-01-19,162.662353515625
2022-01-20,160.97923278808594
2022-01-21,158.92433166503906
2022-01-24,158.15122985839844
2022-01-25,156.35076904296875
2022-01-26,156.26271057128906
2022-01-27,155.80279541015625
2022-01-28,166.67434692382812
2022-01-31,171.02880859375
2022-02-01,170.86248779296875
2022-02-02,172.06607055664062
2022-02-03,169.18914794921875
2022-02-04,168.905029296875
2022-02-07,168.18980407714844
2022-02-08,171.29571533203125
2022-02-09,172.71641540527344
2022-02-10,168.64048767089844
2022-02-11,165.2308807373047
2022-02-14,165.4660186767578
2022-02-15,169.29696655273438
2022-02-16,169.06182861328125
2022-02-17,165.4660186767578
2022-02-18,163.91796875
2022-02-22,160.99819946289062
2022-02-23,156.83412170410156
2022-02-24,159.4501190185547
2022-02-25,161.51744079589844
2022-02-28,161.781982421875
2022-03-01,159.90081787109375
2022-03-02,163.19287109375
2022-03-03,162.8695831298828
2022-03-04,159.87147521972656
2022-03-07,156.07965087890625
2022-03-08,154.25729370117188
2022-03-09,159.65586853027344
2022-03-10,155.31544494628906
2022-03-11,151.60206604003906
2022-03-14,147.5751495361328
2022-03-15,151.9547882080078
2022-03-16,156.3638153076172
2022-03-17,157.37298583984375
2022-03-18,160.66505432128906
2022-03-21,162.0367889404297
2022-03-22,165.40724182128906
2022-03-23,166.7691192626953
2022-03-24,170.55111694335938
2022-03-25,171.18792724609375
2022-03-28,172.0501708984375
2022-03-29,175.34225463867188
2022-03-30,174.17625427246094
2022-03-31,171.08018493652344
2022-04-01,170.7862548828125
2022-04-04,174.83277893066406
2022-04-05,171.52105712890625
2022-04-06,168.35641479492188
2022-04-07,168.66006469726562
2022-04-08,166.65155029296875
2022-04-11,162.39927673339844
2022-04-12,164.27064514160156
2022-04-13,166.9552764892578
2022-04-14,161.9485626220703
2022-04-18,161.73304748535156
2022-04-19,164.0159149169922
2022-04-20,163.84938049316406
2022-04-21,163.0557403564453
2022-04-22,158.5193328857422
2022-04-25,159.58729553222656
2022-04-26,153.63021850585938
2022-04-27,153.4048614501953
2022-04-28,160.33192443847656
2022-04-29,154.4630126953125
2022-05-02,154.76673889160156
2022-05-03,156.25601196289062
2022-05-04,162.66384887695312
2022-05-05,153.60079956054688
2022-05-06,154.32693481445312
2022-05-09,149.20492553710938
2022-05-10,151.6089324951172
2022-05-11,143.74935913085938
2022-05-12,139.88330078125
2022-05-13,144.34786987304688
2022-05-16,142.80734252929688
2022-05-17,146.43788146972656
2022-05-18,138.1759796142578
2022-05-19,134.77113342285156
2022-05-20,135.00662231445312
2022-05-23,140.4229736328125
2022-05-24,137.724609375
2022-05-25,137.8816375732422
2022-05-26,141.08038330078125
2022-05-27,146.8303680419922
2022-05-31,146.04537963867188
2022-06-01,145.91783142089844
2022-06-02,148.3708953857422
2022-06-03,142.6503448486328
2022-06-06,143.39608764648438
2022-06-07,145.91783142089844
2022-06-08,145.18191528320312
2022-06-09,139.9617919921875
2022-06-10,134.55523681640625
2022-06-13,129.40383911132812
2022-06-14,130.26730346679688
2022-06-15,132.88717651367188
2022-06-16,127.61799621582031
2022-06-17,129.08985900878906
2022-06-21,133.3188934326172
2022-06-22,132.8087158203125
2022-06-23,135.67385864257812
2022-06-24,139.0001983642578
2022-06-27,139.0001983642578
2022-06-28,134.85943603515625
2022-06-29,136.61582946777344
2022-06-30,134.1529541015625
2022-07-01,136.3214569091797
2022-07-05,138.90206909179688
2022-07-06,140.2365264892578
2022-07-07,143.60214233398438
2022-07-08,144.2791748046875
2022-07-11,142.14991760253906
2022-07-12,143.12135314941406
2022-07-13,142.75833129882812
2022-07-14,145.682373046875
2022-07-15,147.35043334960938
2022-07-18,144.30865478515625
2022-07-19,148.16485595703125
2022-07-20,150.16653442382812
2022-07-21,152.43313598632812
2022-07-22,151.1968231201172
2022-07-25,150.07821655273438
2022-07-26,148.7535858154297
2022-07-27,153.84608459472656
2022-07-28,154.39561462402344
2022-07-29,159.45872497558594
2022-08-01,158.47752380371094
2022-08-02,157.0056610107422
2022-08-03,163.01077270507812
2022-08-04,162.69676208496094
2022-08-05,162.4707794189453
2022-08-08,161.99913024902344
2022-08-09,162.0482635498047
2022-08-10,166.29306030273438
