date,close
2026-01-09,414.4700012207031
2026-01-12,422.2300109863281
2026-01-13,421.6300048828125
2026-01-14,425.94000244140625
2026-01-15,423.3299865722656
2026-01-16,421.2900085449219
2026-01-20,437.2300109863281
2026-01-21,443.6000061035156
2026-01-22,451.7900085449219
2026-01-23,458.0
2026-01-26,464.70001220703125
2026-01-27,476.1000061035156
2026-01-28,494.55999755859375
2026-01-29,495.8999938964844
2026-01-30,444.95001220703125
2026-02-02,427.1300048828125
2026-02-03,454.2900085449219
2026-02-04,453.9700012207031
2026-02-05,441.8800048828125
2026-02-06,455.4599914550781
2026-02-09,467.0299987792969
2026-02-10,462.3999938964844
2026-02-11,467.6300048828125
2026-02-12,451.3900146484375
2026-02-13,462.6199951171875
2026-02-17,448.20001220703125
2026-02-18,458.2799987792969
2026-02-19,459.55999755859375
2026-02-20,468.6199951171875
2026-02-23,481.2799987792969
2026-02-24,474.6099853515625
2026-02-25,473.4200134277344
2026-02-26,477.4800109863281
2026-02-27,483.75
2026-03-02,490.0
2026-03-03,468.1400146484375
2026-03-04,471.79998779296875
2026-03-05,466.1300048828125
2026-03-06,473.510009765625
2026-03-09,472.5299987792969
2026-03-10,477.8599853515625
2026-03-11,476.239990234375
2026-03-12,466.8800048828125
2026-03-13,460.8399963378906
2026-03-16,460.42999267578125
2026-03-17,459.2699890136719
2026-03-18,444.739990234375
2026-03-19,426.4100036621094
2026-03-20,413.3800048828125
2026-03-23,404.0400085449219
2026-03-24,404.1300048828125
2026-03-25,416.2900085449219
2026-03-26,400.6400146484375
2026-03-27,414.70001220703125
2026-03-30,414.5799865722656
2026-03-31,430.2900085449219
2026-04-01,437.82000732421875
2026-04-02,429.4100036621094
2026-04-06,427.6499938964844
2026-04-07,431.80999755859375
2026-04-08,
